region_name,date,temp_min_anomaly_threshold
无锡市,06-02,-1.5848737258170342
日喀则市,06-02,-1.5820449506266103
日照市,06-02,-1.5385581897272465
昆明市,06-02,0.8057250965741506
昆玉市,06-02,0.14228024931027303
昌吉回族自治州,06-02,1.018853750501993
昌江黎族自治县,06-02,1.688329307452132
昌都市,06-02,-1.0772278709484278
昭通市,06-02,0.5978297472286624
晋中市,06-02,-0.3749558229244982
晋城市,06-02,-0.05431320937593754
普洱市,06-02,0.7492633142071796
景德镇市,06-02,-0.8909155013521429
曲靖市,06-02,0.7111454152347366
朔州市,06-02,-0.2769554226336968
朝阳市,06-02,0.10136937567278517
本溪市,06-02,-2.3018543103216285
来宾市,06-02,0.2147419574320255
杭州市,06-02,-1.2947669961806185
松原市,06-02,-0.27080415469413516
林芝市,06-02,-1.075204654499707
果洛藏族自治州,06-02,-0.3592448635124734
枣庄市,06-02,-0.6672662623567296
柳州市,06-02,0.10942026711272032
株洲市,06-02,-0.4390567334542083
桂林市,06-02,-0.01014684763856925
梅州市,06-02,0.07148919350474306
梧州市,06-02,-0.0010327251014498294
楚雄彝族自治州,06-02,1.0304934436419935
榆林市,06-02,0.14861180817441474
武威市,06-02,0.14066161435861152
武汉市,06-02,-0.7285002962675086
毕节市,06-02,0.7306281859194672
永州市,06-02,-0.10864704459728468
汉中市,06-02,-0.5924449760785586
汕头市,06-02,0.16238330393677636
汕尾市,06-02,0.13427727093467504
江门市,06-02,0.38616508849431735
池州市,06-02,-0.9511886415080707
沈阳市,06-02,-0.743712852371254
沧州市,06-02,0.6434116937064658
河池市,06-02,0.30462171873118726
河源市,06-02,0.15410704527649374
泉州市,06-02,-0.03358699249461649
泰安市,06-02,-0.6136067334252466
泰州市,06-02,-1.55769890946305
泸州市,06-02,0.09688967240109617
洛阳市,06-02,-0.4946042768695209
济南市,06-02,-0.14288228244799114
济宁市,06-02,-0.3569505405091231
济源市,06-02,0.3448018386908354
海东市,06-02,-0.1981063856725575
海北藏族自治州,06-02,-1.133449700742156
海南藏族自治州,06-02,-0.7558913530205865
海口市,06-02,1.096715515466328
海西蒙古族藏族自治州,06-02,-0.9307696832642349
淄博市,06-02,-0.22464491936111633
淮北市,06-02,-0.23222805598279983
淮南市,06-02,-0.771511240658034
淮安市,06-02,-1.5866821496523533
深圳市,06-02,0.25060967269628953
清远市,06-02,-0.07424762480359898
温州市,06-02,-0.7987047860233741
渭南市,06-02,0.1757517625477596
湖州市,06-02,-1.521082590237714
湘潭市,06-02,-0.18266799812921503
湘西土家族苗族自治州,06-02,-0.20875435645682364
湛江市,06-02,0.6190102820666473
滁州市,06-02,-1.4455979207013847
滨州市,06-02,0.12193893152876767
漯河市,06-02,0.38659402942263577
漳州市,06-02,0.036969950556384155
潍坊市,06-02,-1.038840188104112
潜江市,06-02,-0.5202220924314258
