region_name,date,temp_max_anomaly_threshold
保定市,06-02,4.402300583005237
保山市,06-02,3.9287249185809636
信阳市,06-02,2.135453466517716
儋州市,06-02,1.8138055726766036
克孜勒苏柯尔克孜自治州,06-02,-0.1292688808206621
克拉玛依市,06-02,2.3497389829529363
六安市,06-02,1.6482632180255887
六盘水市,06-02,2.3354269659702696
兰州市,06-02,2.579684656289031
兴安盟,06-02,4.066436701175984
内江市,06-02,1.8504746027258172
凉山彝族自治州,06-02,2.2622779272766174
包头市,06-02,3.208539444840198
北京市,06-02,4.485494032707787
北屯市,06-02,3.0673182669369154
北海市,06-02,0.966614162461515
十堰市,06-02,2.51270494266964
南京市,06-02,1.1654230828587047
南充市,06-02,1.203232590306506
南宁市,06-02,1.2004330855085965
南平市,06-02,0.6382229109024813
南昌市,06-02,0.5477982689747632
南通市,06-02,0.19104487791489136
南阳市,06-02,3.219549864919045
博尔塔拉蒙古自治州,06-02,1.4481196005521275
厦门市,06-02,0.6162054969823393
双河市,06-02,2.335845550106359
双鸭山市,06-02,1.8775817588646688
可克达拉市,06-02,2.056822349071529
台州市,06-02,-0.11622293063632577
台湾省,06-02,0.41934335033686587
合肥市,06-02,1.452455588245101
吉安市,06-02,0.2722919112839409
吉林市,06-02,1.9471315336508248
吐鲁番市,06-02,2.15555351753159
吕梁市,06-02,2.639249312590802
吴忠市,06-02,2.9592935414884867
周口市,06-02,3.8992514811880237
呼伦贝尔市,06-02,3.3109350735693126
呼和浩特市,06-02,3.101310606576571
和田地区,06-02,0.26555601465950346
咸宁市,06-02,0.9941886311580255
咸阳市,06-02,3.4136865350873062
哈密市,06-02,1.9441952198156662
哈尔滨市,06-02,2.4111884848529033
唐山市,06-02,3.4546860529578423
商丘市,06-02,3.684237026087437
商洛市,06-02,2.1590735455454557
喀什地区,06-02,0.11463233868524637
嘉兴市,06-02,-0.38172866795816873
嘉峪关市,06-02,1.9869127432082163
四平市,06-02,2.9040735067351724
固原市,06-02,2.2422639255981487
图木舒克市,06-02,2.309355054097999
塔城地区,06-02,2.2063742226686958
大兴安岭地区,06-02,3.095626096689613
大同市,06-02,3.243365587466014
大庆市,06-02,3.0457744239328415
大理白族自治州,06-02,5.207959347727343
大连市,06-02,0.18901399290507204
天水市,06-02,1.5779529090962794
天津市,06-02,4.077872976712207
天门市,06-02,1.648400860198375
太原市,06-02,2.9009321712323604
威海市,06-02,0.7864215601452755
娄底市,06-02,0.9141714463983994
孝感市,06-02,1.6570239072951083
宁德市,06-02,0.33142972390964737
宁波市,06-02,-0.5915369598328745
安庆市,06-02,0.8465264273550203
安康市,06-02,1.9288248569827384
安阳市,06-02,3.7310633213280604
安顺市,06-02,1.829678375264266
定安县,06-02,1.724077316655955
定西市,06-02,1.7473033793603083
宜宾市,06-02,1.8491131891727588
宜昌市,06-02,1.598990205459075
宜春市,06-02,0.6629084823642991
宝鸡市,06-02,2.340096066774767
宣城市,06-02,1.049719516689409
宿州市,06-02,3.3340810185665526
宿迁市,06-02,2.111379433008094
屯昌县,06-02,1.7064412446650619
山南市,06-02,0.3553006109389518
岳阳市,06-02,0.9198757182458601
崇左市,06-02,1.6751092484591201
巴中市,06-02,0.921556936980038
巴彦淖尔市,06-02,2.625589190974436
巴音郭楞蒙古自治州,06-02,0.799116231266072
常州市,06-02,0.6279249394703482
常德市,06-02,1.268077277468981
平凉市,06-02,2.2777268732453613
平顶山市,06-02,3.8967811043451213
广元市,06-02,1.3535507713095107
广安市,06-02,0.6018403791236411
广州市,06-02,1.0644197538830693
庆阳市,06-02,3.0316803470491522
廊坊市,06-02,4.455624441653199
延安市,06-02,3.117341916513307
延边朝鲜族自治州,06-02,1.8013723427449242
开封市,06-02,3.7684938142104825
张家口市,06-02,3.6565725173920676
张家界市,06-02,1.16380320754121
张掖市,06-02,1.6416186888005173
徐州市,06-02,3.130634567058636
德宏傣族景颇族自治州,06-02,3.704000549225259
德州市,06-02,3.4768618044865187
德阳市,06-02,2.1829032518344307
